Cincinnati Masters — 2021
matches: selected=55 rated=55 refused=0 players=56
POS  PLAYER                       RATING  M    AVG  POSITION  ROUND REACHED
 26  Damir Dzumhur                    +6  2    3.0      33rd  R64 loser    
 27  Adam Walton                      +4  3    1.3      17th  R32 loser    
 28  Francisco Comesana               +4  3    1.3       9th  R16 loser    
 29  Luca Nardi                       +4  3    1.3       9th  R16 loser    
 30  Tristan Boyer                    +4  2    2.0      33rd  R64 loser    
 31  Alexander Blockx                 +2  2    1.0      33rd  R64 loser    
 32  Coleman Wong                     +2  2    1.0      33rd  R64 loser    
 33  Sebastian Baez                   +2  2    1.0      33rd  R64 loser    
 34  Zizou Bergs                      +2  2    1.0      33rd  R64 loser    
 35  Alejandro Davidovich Fokina      +0  0      —      33rd  R64 loser    
 36  Emilio Nava                      +0  2    0.0      33rd  R64 loser    
 37  Learner Tien                     +0  2    0.0      33rd  R64 loser    
 38  Lorenzo Sonego                   +0  2    0.0      17th  R32 loser    
 39  Luciano Darderi                  +0  0      —      33rd  R64 loser    
 40  Nishesh Basavareddy              +0  2    0.0      33rd  R64 loser    
 41  Roman Safiullin                  +0  2    0.0      33rd  R64 loser    
 42  Ugo Humbert                      +0  2    0.0      17th  R32 loser    
 43  Daniel Elahi Galan               -2  2   -1.0      33rd  R64 loser    
 44  Ethan Quinn                      -2  2   -1.0      33rd  R64 loser    
 45  Gabriel Diallo                   -2  2   -1.0      17th  R32 loser    
 46  Joao Fonseca                     -4  2   -2.0      17th  R32 loser    
 47  Martin Landaluce                 -4  2   -2.0      33rd  R64 loser    
 48  Nicolas Jarry                    -4  1   -4.0      65th  R128 loser   
 49  Alex Michelsen                   -6  2   -3.0      17th  R32 loser    
 50  Brandon Nakashima                -6  2   -3.0      17th  R32 loser    
 51  Denis Shapovalov                 -6  1   -6.0      33rd  R64 loser    
 52  Fabian Marozsan                  -6  2   -3.0      33rd  R64 loser    
 53  Flavio Cobolli                   -6  1   -6.0      33rd  R64 loser    
 54  Hugo Gaston                      -6  1   -6.0      65th  R128 loser   
 55  Lorenzo Musetti                  -6  1   -6.0      33rd  R64 loser    
 56  Matteo Arnaldi                   -6  1   -6.0      65th  R128 loser   
 57  Roberto Carballes Baena          -6  2   -3.0      33rd  R64 loser    
 58  Sebastian Ofner                  -6  1   -6.0      65th  R128 loser   
 59  Shang Juncheng                   -6  1   -6.0      65th  R128 loser   
 60  Valentin Royer                   -6  2   -3.0      33rd  R64 loser    
 61  Alexandre Muller                 -8  1   -8.0      65th  R128 loser   
